Sample #,Image Type,Query,True Label,Model Response,Correctness Score
Sample 24,Increased Saturation,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average is \((23 + 15) / 2 = 19\).,1.0
Sample 24,Super Increased Saturation,What's the the average of all the values below 30?,19,The average of all values below 30 is \((23 + 15) / 2 = 19\).,1.0
Sample 24,Decreased Saturation,What's the the average of all the values below 30?,19,"The values below 30 are 23 and 15. 

The average is \( \frac{23 + 15}{2} = 19 \).",1.0
Sample 24,Super Decreased Saturation,What's the the average of all the values below 30?,19,"The values below 30 are 23 and 15. 

The average is \((23 + 15) / 2 = 19\).",1.0
Sample 24,Increased Brightness,What's the the average of all the values below 30?,19,The values below 30 are: 29 and 15. The average is \((29 + 15) / 2 = 22\).,0.0
Sample 24,Super Increased Brightness,What's the the average of all the values below 30?,19,"The values below 30 are: 27, 23, 22, 15, 11.

The average is: \( \frac{27 + 23 + 22 + 15 + 11}{5} = 19.6 \)",0.9
Sample 24,Decreased Brightness,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average is \((23 + 15) / 2 = 19\).,1.0
Sample 24,Super Decreased Brightness,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average is (23 + 15) / 2 = 19.,1.0
Sample 24,Increased Contrast,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average is (23 + 15) / 2 = 19.,1.0
Sample 24,Super Increased Contrast,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. Their average is \( \frac{23 + 15}{2} = 19 \).,1.0
Sample 24,Decreased Contrast,What's the the average of all the values below 30?,19,The average of the values below 30 is \((23 + 15) / 2 = 19\).,1.0
Sample 24,Super Decreased Contrast,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average is \( \frac{23 + 15}{2} = 19 \).,1.0
Sample 24,Increased Sharpness,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average of these values is \( \frac{23 + 15}{2} = 19 \).,1.0
Sample 24,Super Increased Sharpness,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average is \((23 + 15) / 2 = 19\).,1.0
Sample 24,Decreased Sharpness,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average is \((23 + 15) / 2 = 19\).,1.0
Sample 24,Super Decreased Sharpness,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average of these values is \( \frac{23 + 15}{2} = 19 \).,1.0
Sample 24,Inverted,What's the the average of all the values below 30?,19,The values below 30 are 23 and 15. The average is \( \frac{23 + 15}{2} = 19 \).,1.0
Sample 24,Super Sharp and Super Saturated,What's the the average of all the values below 30?,19,"The values below 30 are 23 and 15. The average of these values is:

\[
\frac{23 + 15}{2} = 19
\]

The average is 19.",1.0
Sample 25,Baseline,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Black and White,What's the rightmost value of orange graph?,73,58,0.3
Sample 25,Vertically Stretched,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Horizontally Stretched,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Squeezed Vertically,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Squeezed Horizontally,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Downscaled,What's the rightmost value of orange graph?,73,The rightmost value of the orange graph is 73.,1.0
Sample 25,Upscaled,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Increased Saturation,What's the rightmost value of orange graph?,73,The rightmost value of the orange graph is 73.,1.0
Sample 25,Super Increased Saturation,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Decreased Saturation,What's the rightmost value of orange graph?,73,65,0.8
Sample 25,Super Decreased Saturation,What's the rightmost value of orange graph?,73,58,0.0
Sample 25,Increased Brightness,What's the rightmost value of orange graph?,73,53,0.0
Sample 25,Super Increased Brightness,What's the rightmost value of orange graph?,73,The rightmost value of the orange graph is 73.,1.0
Sample 25,Decreased Brightness,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Super Decreased Brightness,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Increased Contrast,What's the rightmost value of orange graph?,73,65,0.7
Sample 25,Super Increased Contrast,What's the rightmost value of orange graph?,73,The rightmost value of the orange graph (Favorable view of U.S.) is 73.,1.0
Sample 25,Decreased Contrast,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Super Decreased Contrast,What's the rightmost value of orange graph?,73,The rightmost value of the orange graph is 73.,1.0
Sample 25,Increased Sharpness,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Super Increased Sharpness,What's the rightmost value of orange graph?,73,The rightmost value of the orange graph is 73.,1.0
Sample 25,Decreased Sharpness,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Super Decreased Sharpness,What's the rightmost value of orange graph?,73,73,1.0
Sample 25,Inverted,What's the rightmost value of orange graph?,73,58,0.0
Sample 25,Super Sharp and Super Saturated,What's the rightmost value of orange graph?,73,73,1.0
Sample 26,Baseline,What's the median value of orange graph?,73,The median value of the orange graph is 69.,0.0
Sample 26,Black and White,What's the median value of orange graph?,73,"The median value of the orange graph (""Favorable view of U.S."") is 65.",0.0
Sample 26,Vertically Stretched,What's the median value of orange graph?,73,The median value of the orange graph is 72.,0.9
Sample 26,Horizontally Stretched,What's the median value of orange graph?,73,The median value of the orange graph is 69.,0.0
Sample 26,Squeezed Vertically,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.0
Sample 26,Squeezed Horizontally,What's the median value of orange graph?,73,"The median value of the orange graph (""Favorable view of U.S."") is 69.5.",0.8
Sample 26,Downscaled,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.0
Sample 26,Upscaled,What's the median value of orange graph?,73,The median value of the orange graph is 73.,1.0
Sample 26,Increased Saturation,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.0
Sample 26,Super Increased Saturation,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.0
Sample 26,Decreased Saturation,What's the median value of orange graph?,73,65,0.7
Sample 26,Super Decreased Saturation,What's the median value of orange graph?,73,52,0.0
Sample 26,Increased Brightness,What's the median value of orange graph?,73,The median value of the orange graph (Confidence in Obama) is 60.,0.0
Sample 26,Super Increased Brightness,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.0
Sample 26,Decreased Brightness,What's the median value of orange graph?,73,The median value of the orange graph is 69.,0.0
Sample 26,Super Decreased Brightness,What's the median value of orange graph?,73,The median value of the orange graph is 73.,1.0
Sample 26,Increased Contrast,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.0
Sample 26,Super Increased Contrast,What's the median value of orange graph?,73,The median value of the orange graph is 69.,0.0
Sample 26,Decreased Contrast,What's the median value of orange graph?,73,The median value of the orange graph is 69.,0.0
Sample 26,Super Decreased Contrast,What's the median value of orange graph?,73,The median value of the orange graph is 69.,0.0
Sample 26,Increased Sharpness,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.0
Sample 26,Super Increased Sharpness,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.0
Sample 26,Decreased Sharpness,What's the median value of orange graph?,73,65,0.7
Sample 26,Super Decreased Sharpness,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.0
Sample 26,Inverted,What's the median value of orange graph?,73,The median value of the orange graph is 71.,0.8
Sample 26,Super Sharp and Super Saturated,What's the median value of orange graph?,73,The median value of the orange graph is 65.,0.0
Sample 27,Baseline,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset about their child being gay or lesbian.",1.0
Sample 27,Black and White,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",1.0
Sample 27,Vertically Stretched,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",1.0
Sample 27,Horizontally Stretched,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,39%,1.0
Sample 27,Squeezed Vertically,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",1.0
Sample 27,Squeezed Horizontally,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",1.0
Sample 27,Downscaled,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 19% of respondents were upset about having a gay child.",0.0
Sample 27,Upscaled,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,39%,1.0
Sample 27,Increased Saturation,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset about a child being gay or lesbian.",1.0
Sample 27,Super Increased Saturation,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset about having a gay child.",1.0
Sample 27,Decreased Saturation,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,57%,0.3
Sample 27,Super Decreased Saturation,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,57%,0.0
Sample 27,Increased Brightness,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",1.0
Sample 27,Super Increased Brightness,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset about having a gay child.",1.0
Sample 27,Decreased Brightness,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",1.0
Sample 27,Super Decreased Brightness,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",1.0
Sample 27,Increased Contrast,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",1.0
Sample 27,Super Increased Contrast,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset about changing reactions to a gay child.",1.0
Sample 27,Decreased Contrast,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,57%,0.0
Sample 27,Super Decreased Contrast,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,57% of respondents were upset in 2015.,0.0
Sample 27,Increased Sharpness,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",1.0
Sample 27,Super Increased Sharpness,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset about changing reactions to a gay child.",1.0
Sample 27,Decreased Sharpness,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset.",1.0
Sample 27,Super Decreased Sharpness,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,39% of respondents were upset in 2015.,1.0
Sample 27,Inverted,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset about the prospect of having a gay child.",1.0
Sample 27,Super Sharp and Super Saturated,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,0.39,"In 2015, 39% of respondents were upset about the idea of having a gay child.",1.0
Sample 28,Baseline,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.8
Sample 28,Black and White,In which year the difference between Upset and Not upset graph is maximum?,1985,The difference is maximum in 1985.,0.7
Sample 28,Vertically Stretched,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.0
Sample 28,Horizontally Stretched,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",1.0
Sample 28,Squeezed Vertically,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between the ""Upset"" and ""Not upset"" graphs is maximum in 1985.",1.0
Sample 28,Squeezed Horizontally,In which year the difference between Upset and Not upset graph is maximum?,1985,The difference is maximum in 1985.,0.7
Sample 28,Downscaled,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.0
Sample 28,Upscaled,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.7
Sample 28,Increased Saturation,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.7
Sample 28,Super Increased Saturation,In which year the difference between Upset and Not upset graph is maximum?,1985,1985.,1.0
Sample 28,Decreased Saturation,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",1.0
Sample 28,Super Decreased Saturation,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.7
Sample 28,Increased Brightness,In which year the difference between Upset and Not upset graph is maximum?,1985,"In 1985, the difference between Upset (89%) and Not upset (9%) is maximum.",0.0
Sample 28,Super Increased Brightness,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between the ""Upset"" and ""Not upset"" graphs is maximum in 1985.",1.0
Sample 28,Decreased Brightness,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.0
Sample 28,Super Decreased Brightness,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between the ""Upset"" and ""Not upset"" reactions is maximum in 1985.",1.0
Sample 28,Increased Contrast,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.7
Sample 28,Super Increased Contrast,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.9
Sample 28,Decreased Contrast,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.4
Sample 28,Super Decreased Contrast,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",1.0
Sample 28,Increased Sharpness,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",1.0
Sample 28,Super Increased Sharpness,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",1.0
Sample 28,Decreased Sharpness,In which year the difference between Upset and Not upset graph is maximum?,1985,"The difference between ""Upset"" and ""Not upset"" is maximum in 1985.",0.0
Sample 28,Super Decreased Sharpness,In which year the difference between Upset and Not upset graph is maximum?,1985,1985,1.0
Sample 28,Inverted,In which year the difference between Upset and Not upset graph is maximum?,1985,1985,1.0
Sample 28,Super Sharp and Super Saturated,In which year the difference between Upset and Not upset graph is maximum?,1985,1985,1.0
Sample 29,Baseline,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Black and White,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Vertically Stretched,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Horizontally Stretched,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Squeezed Vertically,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million.,0.0
Sample 29,Squeezed Horizontally,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million.,0.0
Sample 29,Downscaled,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Upscaled,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million.,0.0
Sample 29,Increased Saturation,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Super Increased Saturation,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Decreased Saturation,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million.,0.0
Sample 29,Super Decreased Saturation,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Increased Brightness,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million.,0.0
Sample 29,Super Increased Brightness,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Decreased Brightness,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Super Decreased Brightness,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Increased Contrast,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million.,0.7
Sample 29,Super Increased Contrast,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Decreased Contrast,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Super Decreased Contrast,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million.,0.0
Sample 29,Increased Sharpness,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Super Increased Sharpness,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Decreased Sharpness,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Super Decreased Sharpness,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million.,0.6
Sample 29,Inverted,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 29,Super Sharp and Super Saturated,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7 million,0.0
Sample 30,Baseline,In how many years the U.S. Hispanic population was below 30 millions?,3,"According to the graph, the U.S. Hispanic population was below 30 million from 1970 to 1999, which is 30 years.",0.0
Sample 30,Black and White,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million in 1970, 1980, 1990, and 2000. That's four years.",0.0
Sample 30,Vertically Stretched,In how many years the U.S. Hispanic population was below 30 millions?,3,"According to the graph, the U.S. Hispanic population was below 30 million for 30 years, from 1970 to 2000.",0.0
Sample 30,Horizontally Stretched,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million for 30 years, from 1970 to 2000.",0.0
Sample 30,Squeezed Vertically,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million during the years from 1970 to 1999, totaling 30 years.",0.0
Sample 30,Squeezed Horizontally,In how many years the U.S. Hispanic population was below 30 millions?,3,"In four years: 1970, 1980, 1990, and 2000.",0.0
Sample 30,Downscaled,In how many years the U.S. Hispanic population was below 30 millions?,3,"In all the years before 1990, the U.S. Hispanic population was below 30 million: 1970, 1980.",1.0
Sample 30,Upscaled,In how many years the U.S. Hispanic population was below 30 millions?,3,Twenty years (1970-1990).,0.0
Sample 30,Increased Saturation,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million for 30 years, from 1970 to 2000.",0.0
Sample 30,Super Increased Saturation,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million from 1970 to 1990, a total of 20 years.",0.0
Sample 30,Decreased Saturation,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million for 30 years, from 1970 to 2000.",0.0
Sample 30,Super Decreased Saturation,In how many years the U.S. Hispanic population was below 30 millions?,3,"In 30 years, from 1970 to 2000, the U.S. Hispanic population was below 30 million.",0.0
Sample 30,Increased Brightness,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million in 1970, 1980, and 1990. That's 30 years.",0.0
Sample 30,Super Increased Brightness,In how many years the U.S. Hispanic population was below 30 millions?,3,"30 years (1970, 1980, 1990).",0.0
Sample 30,Decreased Brightness,In how many years the U.S. Hispanic population was below 30 millions?,3,The U.S. Hispanic population was below 30 million for 30 years (1970 to 2000).,0.0
Sample 30,Super Decreased Brightness,In how many years the U.S. Hispanic population was below 30 millions?,3,The U.S. Hispanic population was below 30 million for 20 years (from 1970 to 1990).,0.8
Sample 30,Increased Contrast,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million for three decades: 1970, 1980, and 1990.",0.0
Sample 30,Super Increased Contrast,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million until 1998. Thus, it was below 30 million for 28 years (1970-1998).",0.0
Sample 30,Decreased Contrast,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million for 30 years, from 1970 to 2000.",0.0
Sample 30,Super Decreased Contrast,In how many years the U.S. Hispanic population was below 30 millions?,3,"Based on the graph, the U.S. Hispanic population was below 30 million for 30 years, from 1970 to 2000.",0.0
Sample 30,Increased Sharpness,In how many years the U.S. Hispanic population was below 30 millions?,3,"For three decades: the 1970s, 1980s, and 1990s.",1.0
Sample 30,Super Increased Sharpness,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million for 30 years, from 1970 until 2000.",0.0
Sample 30,Decreased Sharpness,In how many years the U.S. Hispanic population was below 30 millions?,3,"According to the chart, the U.S. Hispanic population was below 30 million during the years 1970, 1980, and 1990. So, it was below 30 million for 30 years.",0.7
Sample 30,Super Decreased Sharpness,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million for 30 years, from 1970 to 2000.",0.0
Sample 30,Inverted,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million in 20 years, from 1970 to 1990.",1.0
Sample 30,Super Sharp and Super Saturated,In how many years the U.S. Hispanic population was below 30 millions?,3,"The U.S. Hispanic population was below 30 million for 20 years, from 1970 to 1990.",0.0
Sample 31,Baseline,In which year the value of orange graph is 36?,2013,2011,0.0
Sample 31,Black and White,In which year the value of orange graph is 36?,2013,In 2015.,0.0
Sample 31,Vertically Stretched,In which year the value of orange graph is 36?,2013,2013,1.0
Sample 31,Horizontally Stretched,In which year the value of orange graph is 36?,2013,2013,1.0
Sample 31,Squeezed Vertically,In which year the value of orange graph is 36?,2013,The value of the orange graph is 36 in the year 2011.,0.0
Sample 31,Squeezed Horizontally,In which year the value of orange graph is 36?,2013,"In 2011, the value of the orange graph is 36.",0.0
Sample 31,Downscaled,In which year the value of orange graph is 36?,2013,"In 2014, the value of the orange graph is 36.",0.0
Sample 31,Upscaled,In which year the value of orange graph is 36?,2013,2013,1.0
Sample 31,Increased Saturation,In which year the value of orange graph is 36?,2013,2011,0.0
Sample 31,Super Increased Saturation,In which year the value of orange graph is 36?,2013,The value of the orange graph is 36 in 2011.,0.0
Sample 31,Decreased Saturation,In which year the value of orange graph is 36?,2013,2012,0.9
Sample 31,Super Decreased Saturation,In which year the value of orange graph is 36?,2013,"In 2013, the value of the orange graph is 36.",0.7
Sample 31,Increased Brightness,In which year the value of orange graph is 36?,2013,The value of the orange graph is 36 in the year 2009.,0.0
Sample 31,Super Increased Brightness,In which year the value of orange graph is 36?,2013,The value of the orange graph is 36 in the year 2013.,0.0
Sample 31,Decreased Brightness,In which year the value of orange graph is 36?,2013,2014,0.9
Sample 31,Super Decreased Brightness,In which year the value of orange graph is 36?,2013,2013,1.0
Sample 31,Increased Contrast,In which year the value of orange graph is 36?,2013,2013,1.0
Sample 31,Super Increased Contrast,In which year the value of orange graph is 36?,2013,2014,0.9
Sample 31,Decreased Contrast,In which year the value of orange graph is 36?,2013,2011,0.7
Sample 31,Super Decreased Contrast,In which year the value of orange graph is 36?,2013,The value of the orange graph is 36 in the year 2013.,0.4
Sample 31,Increased Sharpness,In which year the value of orange graph is 36?,2013,2011,0.9
Sample 31,Super Increased Sharpness,In which year the value of orange graph is 36?,2013,"In 2011, the value of the orange graph is 36.",0.0
Sample 31,Decreased Sharpness,In which year the value of orange graph is 36?,2013,2014,0.9
Sample 31,Super Decreased Sharpness,In which year the value of orange graph is 36?,2013,The value of the orange graph is 36 in 2011.,0.0
Sample 31,Inverted,In which year the value of orange graph is 36?,2013,"In 2011, the value of the orange graph is 36.",0.0
Sample 31,Super Sharp and Super Saturated,In which year the value of orange graph is 36?,2013,2011,0.3
Sample 32,Baseline,What's the median value of green graph from 2011 to 2015?,61,61,1.0
Sample 32,Black and White,What's the median value of green graph from 2011 to 2015?,61,"The median value of the ""Confidence"" graph (green) from 2011 to 2015 is 61.",1.0
Sample 32,Vertically Stretched,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,1.0
Sample 32,Horizontally Stretched,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,1.0
Sample 32,Squeezed Vertically,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph (Confidence) from 2011 to 2015 is 49.,0.0
Sample 32,Squeezed Horizontally,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,1.0
Sample 32,Downscaled,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph (confidence) from 2011 to 2015 is 49.,0.0
Sample 32,Upscaled,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph (confidence) from 2011 to 2015 is 61.,1.0
Sample 32,Increased Saturation,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 50.,0.0
Sample 32,Super Increased Saturation,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61%.,1.0
Sample 32,Decreased Saturation,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 50.,0.0
Sample 32,Super Decreased Saturation,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 49.,0.0
Sample 32,Increased Brightness,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 33.,0.0
Sample 32,Super Increased Brightness,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 33.,0.0
Sample 32,Decreased Brightness,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,1.0
Sample 32,Super Decreased Brightness,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 49.,0.0
Sample 32,Increased Contrast,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,1.0
Sample 32,Super Increased Contrast,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,1.0
Sample 32,Decreased Contrast,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph (confidence) from 2011 to 2015 is 61.,1.0
Sample 32,Super Decreased Contrast,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,1.0
Sample 32,Increased Sharpness,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph (Confidence) from 2011 to 2015 is 56.,0.0
Sample 32,Super Increased Sharpness,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,1.0
Sample 32,Decreased Sharpness,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,1.0
Sample 32,Super Decreased Sharpness,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 61.,1.0
Sample 32,Inverted,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 49.,0.0
Sample 32,Super Sharp and Super Saturated,What's the median value of green graph from 2011 to 2015?,61,The median value of the green graph from 2011 to 2015 is 56.,0.0
Sample 33,Baseline,What's the rightmost value of dark green graph?,15,15%,0.9
Sample 33,Black and White,What's the rightmost value of dark green graph?,15,11,0.7
Sample 33,Vertically Stretched,What's the rightmost value of dark green graph?,15,The rightmost value of the dark green graph is 15.,1.0
